Target,MAE,MSE,RMSE,MAPE,R2
so2,0.12266703546149156,0.025772721395692293,0.16053884699876317,24.575008461634255,0.6928380002498162
co,0.058821505512461666,0.004572212290710559,0.06761813581215145,28.74156611962315,0.48754409524941744
o3,0.15646130318579135,0.05448420073175353,0.23341850983106188,5.050092484994321,0.7976191053472139
pm10,0.2504602868760475,0.14554479422700578,0.3815033344900222,8.935622076373004,0.6896354431219334
pm2.5,0.2490901499344663,0.141324836863363,0.3759319577574684,13.057625901582028,0.700155637196723
no,0.17861271669689746,0.07109038316440369,0.26662779893402655,32.07278084925368,0.6984666865422295
